type_label,type_start,type_end,subtype,title_de,description_de,title_en,part,division,subsection,group_label,group_title,grundtvig_no,grimm_no,page
1,1,1,,Das Erbeuten der Fische,der Fuchs stellt sich tot; der Mann hebt ihn auf seinen mit Fischen beladenen Schlitten.,The theft of fish,I. Tiermärchen,,Die Tiere des Waldes,1–69,Der Fuchs = das schlaue Tier,,,1
2,2,2,,Das Fischen mit dem Schwanze,"der Bär (Wolf) wird verleitet, seinen Schwanz in das Loch im Eise zu stecken; der Schwanz friert fest; die Bäuerin schlägt mit einer Stange auf den Bären ein; er rettet sich mit Verlust des Schwanzes.",Fishing with the tail,I. Tiermärchen,,Die Tiere des Waldes,1–69,Der Fuchs = das schlaue Tier,,,1
3,3,3,,Der mit Buttermilch Befleckte stellt sich schwerverletzt,"beim Naschen von Buttermilch befleckt sich der Fuchs den Kopf; er gibt vor, so misshandelt worden zu sein, dass das Gehirn freigelegt ist.","Smeared with buttermilk, he pretends to be badly wounded",I. Tiermärchen,,Die Tiere des Waldes,1–69,Der Fuchs = das schlaue Tier,,,1
4,4,4,,Das Tragen des scheinbar Verletzten,der Fuchs: „der Kranke trägt den Gesunden“ (Grimm No. 74).,Carrying the sham-sick animal,I. Tiermärchen,,Die Tiere des Waldes,1–69,Der Fuchs = das schlaue Tier,,74,1
5,5,5,,Das Beissen in den Fuss,der Fuchs zum Bären: „du beisst in die Baumwurzel“.,Biting the foot,I. Tiermärchen,,Die Tiere des Waldes,1–69,Der Fuchs = das schlaue Tier,,,1
6,6,6,,Die Frage nach der Windrichtung als Mittel zur Rettung,"der Fuchs im Rachen des Bären (Wolfes), fragt: „woher kommt der Wind?“ der Bär öffnet den Rachen um zu antworten; der Fuchs entrinnt. align=""right"" valign=""top"" |",Asking the wind's direction as a means of escape,I. Tiermärchen,,Die Tiere des Waldes,1–69,Der Fuchs = das schlaue Tier,,,1
7,7,7,,Das Nennen von drei Baumnamen,"Bär (Wolf) und Fuchs wetten, wer schneller drei Bäume nennen kann.",Naming three tree names,I. Tiermärchen,,Die Tiere des Waldes,1–69,Der Fuchs = das schlaue Tier,,,2
8,8,8,,Das Bemalen,der Fuchs lässt den Bären (Wolf) sich auf einen Heuschober stellen und zündet den Schober an.,Painting,I. Tiermärchen,,Die Tiere des Waldes,1–69,Der Fuchs = das schlaue Tier,,,2
9,9,9,,Auf dem Felde und in der Scheune,"der Bär arbeitet, der Fuchs steht müssig; in der Scheune drischt der Bär, der Fuchs gibt vor, die Dachbalken zu stützen, damit sie nicht dem Bären auf den Kopf fallen; bei der Teilung nimmt der Fuchs das Korn, der Bär den grösseren Spreuhaufen; beim Mahlen gibt das Getreide des Fuchses ein anderes Geräusch als das des Bären; beim Kochen wird die Grütze des Fuchses hell, die des Bären schwarz; beim Essen nimmt der Fuchs heimlich einen Löffel voll von der Grütze des Bären und lässt den Bären kosten; dieser glaubt nun, dass die Grütze des Fuchses ebenso schlecht schmeckt wie seine eigene.",In the field and in the barn,I. Tiermärchen,,Die Tiere des Waldes,1–69,Der Fuchs = das schlaue Tier,,,2
15,15,15,,Das Naschen der Butter (des Honigs),"der Fuchs (das Huhn) gibt vor, zu einer Taufe als Gevatter gebeten zu sein; verzehrt den Buttervorrat des Bären (Wolfes, resp. Hahnes); schmiert etwas Butter dem schlafenden Bären (Wolf) an den Rachen (oder unter den Schwanz).",Stealing the butter (the honey),I. Tiermärchen,,Die Tiere des Waldes,1–69,Der Fuchs = das schlaue Tier,,,2
20,20,20,,Die Tiere fressen einander auf (auf den Rat des Fuchses wird das kleinste zuerst gefressen u. dergl.),,"The animals eat one another (on the fox's advice the smallest is eaten first, and the like)",I. Tiermärchen,,Die Tiere des Waldes,1–69,Der Fuchs = das schlaue Tier,,,2
20 A,20,20,A,,Die Tiere geraten in eine Fanggrube.,,I. Tiermärchen,,Die Tiere des Waldes,1–69,Der Fuchs = das schlaue Tier,,,2
20 B,20,20,B,,"Ein alter Mann gerät in ein Fangeisen und kommt um; die Tiere ziehen die Beute heimwärts, fressen ihn allmählich auf und haben dann keine Nahrung mehr.",,I. Tiermärchen,,Die Tiere des Waldes,1–69,Der Fuchs = das schlaue Tier,,,2
20 C,20,20,C,,Die Tiere auf der Flucht vor dem Untergang der Welt oder vor dem Kriege (ein Blatt ist in den See oder eine Nuss dem Huhn auf den Kopf gefallen).,,I. Tiermärchen,,Die Tiere des Waldes,1–69,Der Fuchs = das schlaue Tier,,,2
21,21,21,,Das Fressen der eigenen Eingeweide,"der Fuchs verleitet den Bären (Wolf) dazu, seine eigenen Eingeweide zu verzehren.",Eating his own entrails,I. Tiermärchen,,Die Tiere des Waldes,1–69,Der Fuchs = das schlaue Tier,,,2
30,30,30,,"Der Fuchs stellt es so an, dass der Wolf in die Grube fällt",Wettlauf.,The fox contrives to make the wolf fall into the pit,I. Tiermärchen,,Die Tiere des Waldes,30–35,Die Rettung aus der Grube,,,3
31,31,31,,,Der Fuchs stellt sich auf den (aufrechtstehenden) Wolf und springt aus der Grube hinauf.,,I. Tiermärchen,,Die Tiere des Waldes,30–35,Die Rettung aus der Grube,,,3
32,32,32,,,"Der Wolf gerät mit dem einen Eimer in den Brunnen, während der Fuchs im andern Eimer hinaufgezogen wird.",,I. Tiermärchen,,Die Tiere des Waldes,30–35,Die Rettung aus der Grube,,,3
33,33,33,,,Der Fuchs stellt sich tot; der Mann wirft ihn aus der Grube hinauf; er entflieht.,,I. Tiermärchen,,Die Tiere des Waldes,30–35,Die Rettung aus der Grube,,,3
36,36,36,,Der Fuchs vergewaltigt die Bärin (der Hase die Füchsin),"die Bärin hat sich im Baumspalt (Zaunlücke) festgeklemmt; (der Fuchs berusst sich, wird für den Pastor gehalten).",The fox violates the she-bear (the hare the vixen),I. Tiermärchen,,Die Tiere des Waldes,1–69,Der Fuchs = das schlaue Tier,,,3
37,37,37,,Die Suche nach einer Kinderwärterin (einem Klageweib),der Fuchs als Kindermagd; frisst die Jungen des Bären auf.,The search for a nursemaid (a mourning-woman),I. Tiermärchen,,Die Tiere des Waldes,1–69,Der Fuchs = das schlaue Tier,,,3
38,38,38,,Die Tatze in der Baumritze,"der Fuchs (Mensch) verleitet den Bären, seine Tatze in die Ritze zu stecken (vgl. No. 151).",The paw in the cleft of the tree,I. Tiermärchen,,Die Tiere des Waldes,1–69,Der Fuchs = das schlaue Tier,,,3
39,39,39,,"Der Bär wirft die Eberesche um, damit die alte Mutter des Fuchses die Beeren erlangen kann","der Fuchs verzehrt selbst die Beeren. [Baumtragen, siehe No. 1052].",The bear knocks over the rowan so the fox's old mother can reach the berries,I. Tiermärchen,,Die Tiere des Waldes,1–69,Der Fuchs = das schlaue Tier,,,3
40,40,40,,Der Fuchs läutet,"der Bär frisst ein Pferd, an dessen Hals eine Glocke befestigt ist, der Fuchs läutet an der Glocke. [Ernteteilung, siehe No. 1030].",The fox rings the bell,I. Tiermärchen,,Die Tiere des Waldes,1–69,Der Fuchs = das schlaue Tier,,,3
41,41,41,,Der Fuchs führt den Wolf zum Naschen in den Keller,"der Wolf frisst so viel, dass er nicht wieder zum Kellerloch herauskann, und wird getötet (Grimm No. 73).",The fox leads the wolf into the cellar to feast,I. Tiermärchen,,Die Tiere des Waldes,1–69,Der Fuchs = das schlaue Tier,,73,3
42,42,42,,Wettstreit im Lachen,zwischen Fuchs und Bär.,The laughing contest,I. Tiermärchen,,Die Tiere des Waldes,1–69,Der Fuchs = das schlaue Tier,,,3
43,43,43,,"Der Bär baut ein Haus aus Holz, der Fuchs aus Eis",im Sommer will der Fuchs den Bären aus seinem Hause vertreiben (vgl. No. 1097).,"The bear builds a house of wood, the fox of ice",I. Tiermärchen,,Die Tiere des Waldes,1–69,Der Fuchs = das schlaue Tier,,,3
47,47,47,,Der Fuchs (Bär u. s. w.) mit den Zähnen am Schwanze des Pferdes hängend,"der Hase fragt ihn, wohin die Fahrt geht. (Grimm No. 132).","The fox (bear, etc.) hanging by its teeth from the horse's tail",I. Tiermärchen,,Die Tiere des Waldes,1–69,Der Fuchs = das schlaue Tier,,132,4
50,50,50,,Der kranke Löwe,"der Fuchs gibt vor, für den Löwen ein Heilmittel zu suchen; rät, dem Wolfe die Haut abzuziehn.",The sick lion,I. Tiermärchen,,Die Tiere des Waldes,1–69,Der Fuchs = das schlaue Tier,,,4
55,55,55,,Die Tiere beim Wegebau,"der Fuchs als Arbeitsleiter; die Tiere, die nicht an der Arbeit teilnehmen, werden bestraft.",The animals build a road,I. Tiermärchen,,Die Tiere des Waldes,1–69,Der Fuchs = das schlaue Tier,,,4
56,56,56,,Der Fuchs erbeutet durch List die Jungen der Elster,,The fox tricks the magpie out of her young,I. Tiermärchen,,Die Tiere des Waldes,1–69,Der Fuchs = das schlaue Tier,,,4
56 A,56,56,A,,"Der Fuchs droht den Baum umzustossen; die Krähe gibt gute Ratschläge; der Fuchs rächt sich, stellt sich tot und fängt die Krähe.",,I. Tiermärchen,,Die Tiere des Waldes,1–69,Der Fuchs = das schlaue Tier,,,4
56 B,56,56,B,,"Der Fuchs verleitet die Elster, ihre Jungen in seinen Bau zu bringen; die Elster rächt sich; der Hund stellt sich tot und tötet den Fuchs.",,I. Tiermärchen,,Die Tiere des Waldes,1–69,Der Fuchs = das schlaue Tier,,,4
57,57,57,,Der Rabe mit dem Käse im Schnabel,der Fuchs verleitet den Raben zum Singen; der Käse fällt herunter.,The raven with the cheese in its beak,I. Tiermärchen,,Die Tiere des Waldes,1–69,Der Fuchs = das schlaue Tier,,,4
60,60,60,,Die gegenseitige Einladung,"der Kranich (Reiher) hat die Speisen in einem Butterfass, der Fuchs auf einer glatten Felsplatte; der Kranich verletzt sich den Schnabel.",The mutual invitation,I. Tiermärchen,,Die Tiere des Waldes,1–69,Der Fuchs = das schlaue Tier,,,4
61,61,61,,"Der Fuchs verleitet den Hahn, mit geschlossenen Augen zu krähen",stürzt sich dann auf ihn.,The fox persuades the cock to crow with closed eyes,I. Tiermärchen,,Die Tiere des Waldes,1–69,Der Fuchs = das schlaue Tier,,,4
62,62,62,,Der Friede unter den Tieren,"der Fuchs lockt die Hühner zu sich; entflieht, als er von den Hunden reden hört und sagt, sie hätten noch nichts vom Friedensschluss erfahren.",Peace among the animals,I. Tiermärchen,,Die Tiere des Waldes,1–69,Der Fuchs = das schlaue Tier,,,4
65,65,65,,Die Freier der Füchsin,"zu einer verwittweten Füchsin kommen Freier, Füchse oder andere Tiere; bekommen alle den Korb, bis einer kommt, der alle Eigenschaften ihres früheren Mannes besitzt (Grimm No. 38).",The vixen's suitors,I. Tiermärchen,,Die Tiere des Waldes,1–69,Der Fuchs = das schlaue Tier,,38,4
70,70,70,,"Furchtsamer als der Hase (die Schafe, der Fisch, der Frosch u. s. w.)","Der Hase lacht, dass ihm die Lippe platzt.","More timid than the hare (the sheep, the fish, the frog, etc.)",I. Tiermärchen,,Die Tiere des Waldes,70–99,Andere Tiere des Waldes,,,5
71,71,71,,Der Wettstreit des Frostes und des Hasen,"der Hase legt sich auf den hartgefrornen Schnee: „o, wie warm!“",The contest of the frost and the hare,I. Tiermärchen,,Die Tiere des Waldes,70–99,Andere Tiere des Waldes,,,5
75,75,75,,Die Hilfe des Schwachen,"die Maus rettet den Bären (Fuchs) aus der Schlinge, indem sie die Stricke zernagt.",The help of the weak,I. Tiermärchen,,Die Tiere des Waldes,70–99,Andere Tiere des Waldes,,,5
85,85,85,,"Das Mäuschen, Vögelchen und die Bratwurst",haben gemeinsamen Haushalt; tauschen einmal ihre Obliegenheiten und alles geht schlecht (Grimm No. 23).,"The little mouse, the little bird, and the sausage",I. Tiermärchen,,Die Tiere des Waldes,70–99,Andere Tiere des Waldes,,23,5
90,90,90,,"Die Nadel, der Handschuh und das Eichhorn","die Nadel findet zuerst schlechte Beute, bekommt Prügel; zuletzt gleitet sie in den Magen eines Tieres, das Tier stirbt.","The needle, the glove, and the squirrel",I. Tiermärchen,,Die Tiere des Waldes,70–99,Andere Tiere des Waldes,,,5
