id,list,epoch,position,figure,alt_names,city,reign_sars,reign_years,age_at_fathering_mt,age_at_fathering_sp,age_at_fathering_lxx,remaining_years_mt,remaining_years_sp,remaining_years_lxx,total_years_mt,total_years_sp,total_years_lxx,reference,note,woh_library
skl-01-alulim,sumerian-king-list-wb444,antediluvian,1,Alulim,,Eridu,,28800,,,,,,,,,,SKL 3–4 (ETCSL 2.1.1),,https://www.wheelofheaven.world/library/sumerian-king-list-woh/#c1p3
skl-02-alalgar,sumerian-king-list-wb444,antediluvian,2,Alalgar,,Eridu,,36000,,,,,,,,,,SKL 5 (ETCSL 2.1.1),,https://www.wheelofheaven.world/library/sumerian-king-list-woh/#c1p5
skl-03-enmenluana,sumerian-king-list-wb444,antediluvian,3,En-men-lu-ana,,Bad-tibira,,43200,,,,,,,,,,SKL 11–12 (ETCSL 2.1.1),,https://www.wheelofheaven.world/library/sumerian-king-list-woh/#c1p11
skl-04-enmengalana,sumerian-king-list-wb444,antediluvian,4,En-men-gal-ana,,Bad-tibira,,28800,,,,,,,,,,SKL 13–14 (ETCSL 2.1.1),,https://www.wheelofheaven.world/library/sumerian-king-list-woh/#c1p13
skl-05-dumuzid,sumerian-king-list-wb444,antediluvian,5,Dumuzid the shepherd,,Bad-tibira,,36000,,,,,,,,,,SKL 15 (ETCSL 2.1.1),,https://www.wheelofheaven.world/library/sumerian-king-list-woh/#c1p15
skl-06-ensipadzidana,sumerian-king-list-wb444,antediluvian,6,En-sipad-zid-ana,,Larak,,28800,,,,,,,,,,SKL 20–21 (ETCSL 2.1.1),,https://www.wheelofheaven.world/library/sumerian-king-list-woh/#c1p20
skl-07-enmendurana,sumerian-king-list-wb444,antediluvian,7,En-men-dur-ana,,Sippar,,21000,,,,,,,,,,SKL 26–27 (ETCSL 2.1.1),,https://www.wheelofheaven.world/library/sumerian-king-list-woh/#c1p26
skl-08-ubaratutu,sumerian-king-list-wb444,antediluvian,8,Ubara-Tutu,,Shuruppak,,18600,,,,,,,,,,SKL 32–33 (ETCSL 2.1.1),"Last king before the Flood; the WB-444 recension has no Ziusudra — other witnesses (WB-62, the Dynastic Chronicle, Berossos) add a flood hero at Shuruppak.",https://www.wheelofheaven.world/library/sumerian-king-list-woh/#c1p32
ber-01-aloros,berossos,antediluvian,1,Aloros,,,10,36000,,,,,,,,,,"Berossos, Babyloniaca F 3 (FGrH 680; via Syncellus)",,
ber-02-alaparos,berossos,antediluvian,2,Alaparos,,,3,10800,,,,,,,,,,"Berossos, Babyloniaca F 3 (FGrH 680; via Syncellus)",,
ber-03-amelon,berossos,antediluvian,3,Amelon,,,13,46800,,,,,,,,,,"Berossos, Babyloniaca F 3 (FGrH 680; via Syncellus)",,
ber-04-ammenon,berossos,antediluvian,4,Ammenon,,,12,43200,,,,,,,,,,"Berossos, Babyloniaca F 3 (FGrH 680; via Syncellus)",,
ber-05-megalaros,berossos,antediluvian,5,Megalaros,Amegalaros,,18,64800,,,,,,,,,,"Berossos, Babyloniaca F 3 (FGrH 680; via Syncellus)",,
ber-06-daonos,berossos,antediluvian,6,Daonos,Daos,,10,36000,,,,,,,,,,"Berossos, Babyloniaca F 3 (FGrH 680; via Syncellus)",,
ber-07-euedorachos,berossos,antediluvian,7,Euedorachos,Euedoreschos; cf. En-men-dur-ana,,18,64800,,,,,,,,,,"Berossos, Babyloniaca F 3 (FGrH 680; via Syncellus)",,
ber-08-amempsinos,berossos,antediluvian,8,Amempsinos,,,10,36000,,,,,,,,,,"Berossos, Babyloniaca F 3 (FGrH 680; via Syncellus)",,
ber-09-otiartes,berossos,antediluvian,9,Otiartes,Ardates; cf. Ubara-Tutu,,8,28800,,,,,,,,,,"Berossos, Babyloniaca F 3 (FGrH 680; via Syncellus)",,
ber-10-xisouthros,berossos,antediluvian,10,Xisouthros,Xisuthros; = Ziusudra,,18,64800,,,,,,,,,,"Berossos, Babyloniaca F 3 (FGrH 680; via Syncellus)",The flood hero of Berossos' account — see the Flood-Myth Concordance row berossus-xisuthros.,
