id,tradition,source_text,reference,council_term,presiding_figure,members,function,woh_library
ugaritic-baal-cycle,Ugaritic (Canaanite),Baal Cycle,KTU 1.1–1.6,puḫru môʿidi / pḫr mʿd (“the assembled council”); bn ilm (“sons of El”),"El, the aged father of the gods",The sons of El / the seventy sons of Athirat,"El presides while the assembly debates and confers kingship (Baal, Yam, Mot contend)",https://www.wheelofheaven.world/library/baal-cycle-woh/
hebrew-psalm-82,Hebrew / Biblical,Psalms,Psalm 82:1,ʿădat-ʾēl (“the divine council / assembly of El”),Elohim (God) takes his stand,"The ʾĕlōhîm (“gods”), judged for unjust rule and sentenced to “die like men”",Judgment and demotion of the council gods,https://www.wheelofheaven.world/library/psalms/
hebrew-1kings-22,Hebrew / Biblical,1 Kings (Micaiah's vision),1 Kings 22:19–23,ṣəbāʾ haššāmayim (“the host of heaven”),"Yahweh, enthroned","The host of heaven, standing on his right and left",Deliberation — a spirit volunteers as a “lying spirit” to entice Ahab,https://www.wheelofheaven.world/library/1-kings/
hebrew-job-court,Hebrew / Biblical,Job (heavenly court),Job 1:6; 2:1,bənê hāʾĕlōhîm (“the sons of God”),Yahweh,"The sons of God, with ha-śāṭān (“the Accuser”) among them",The court presents itself; the wager over Job,https://www.wheelofheaven.world/library/job-woh/
hebrew-deut-32,Hebrew / Biblical,Deuteronomy (Song of Moses),Deuteronomy 32:8–9,"bənê ʾĕlōhîm / bənê ʾēl (“sons of God,” LXX & 4QDeut)",ʿElyon (the Most High) apportions,The sons of God — one set over each nation; Yahweh's allotment is Israel,Division of the nations among the council members,https://www.wheelofheaven.world/library/deuteronomy/
hebrew-isaiah-6,Hebrew / Biblical,Isaiah (throne vision),Isaiah 6:1–8,The seraphim before the throne,"Yahweh, “high and lifted up”",The seraphim,"Commissioning — “Whom shall I send, and who will go for us?” (the council plural)",https://www.wheelofheaven.world/library/isaiah/
babylonian-enuma-elish,Babylonian (Akkadian),Enūma Eliš,Tablets II–VI,puḫur ilāni (“the assembly of the gods”),"Anšar, then Marduk (elected)",The great gods (the Anunnaki),The assembly grants Marduk kingship and the Tablet of Destinies to fight Tiamat,
babylonian-atrahasis,Babylonian (Akkadian),Atra-ḫasīs,Tablets I–III,puḫrum (“the assembly”),Enlil,The great gods; Enki (Ea) dissents,The assembly decrees the flood under oath — a decision Enki argues against,https://www.wheelofheaven.world/library/atrahasis-woh/
second-temple-watchers,Second Temple / Apocrypha,Book of the Watchers (1 Enoch),1 Enoch 6–16; 14,The “Holy Ones” / the heavenly host before the throne,The Great Glory / the Lord of Spirits,The Holy Ones; the Watchers (rebel members who descend),The heavenly court; the archangels petition; judgment on the Watchers,https://www.wheelofheaven.world/library/book-of-enoch-woh/
anatolian-song-of-emergence,Hurrian-Hittite,Song of Emergence (Kingship in Heaven),CTH 344,"The gods of heaven, in dynastic succession",The reigning sky-king (Alalu → Anu → Kumarbi → Teshub),The divine dynasty,The succession of divine kingship in heaven,
mormon-council-in-heaven,Latter-day Saint,Book of Moses / Book of Abraham,Moses 4:1–4; Abraham 3:22–28,The “council in heaven”; the “noble and great ones”,God the Father,The premortal spirits / the noble and great ones,The premortal council debates the plan and the choice of a Redeemer,https://www.wheelofheaven.world/library/book-of-moses/
