id,tradition,source_text,approx_date,survivor,flood_decreed_by,warned_by,cause,vessel,birds_released,landing_place,aftermath,woh_library
sumerian-ziusudra,Sumerian,Eridu Genesis / Sumerian Flood Story,c. 1600 BCE (text),Ziusudra (king of Shuruppak),"The divine assembly (An, Enlil)",Enki,The assembly's sworn decision to wipe out humankind,A great boat,,,Ziusudra granted eternal life; settled in Dilmun,https://www.wheelofheaven.world/library/eridu-genesis/
babylonian-atrahasis,Babylonian (Akkadian),Atra-ḫasīs,c. 1700 BCE,Atra-ḫasīs (“exceedingly wise”),Enlil,Enki/Ea (through the reed wall),Human overpopulation and “noise” (rigmu) disturbing Enlil,A roofed reed boat sealed with pitch,,,The gods regret it; Enlil institutes mortality and birth controls,https://www.wheelofheaven.world/library/atrahasis-woh/
babylonian-utnapishtim,Babylonian (Akkadian),"Epic of Gilgamesh, Tablet XI",c. 1200 BCE (standard version),Utnapishtim (and his wife),Enlil and the great gods,Ea (through the reed fence),The gods' decision to destroy humankind,A seven-decked cube-shaped boat sealed with pitch,"Dove, swallow, raven (the raven does not return)",Mount Nimuš (Nisir),Sacrifice; the gods gather “like flies”; Utnapishtim and wife granted immortality,https://www.wheelofheaven.world/library/gilgamesh-woh/
hebrew-noah,Hebrew / Biblical,Genesis 6–9,c. 6th–5th c. BCE (text),Noah (and his family),Yahweh (Elohim),Yahweh,The wickedness of humankind; “the earth was filled with violence”,"A gopher-wood ark, three decks, pitched inside and out","A raven, then a dove released three times",The mountains of Ararat,Burnt offering; the rainbow covenant never to flood the earth again,https://www.wheelofheaven.world/library/genesis-woh/
islamic-nuh,Islamic,"Qurʾān (Sūrahs 11, 71, 23)",7th c. CE,Nūḥ (Noah) and the believers,Allah,Allah (Nuh preaches; the ark built under revelation),The people's persistent rejection of Nuh's warning,"The ark, built “under Our eyes and Our inspiration”",,Mount Jūdī (al-Jūdī),"The disbelievers drown, including Nuh's own son; “O earth, swallow up thy water”",https://www.wheelofheaven.world/library/quran-woh/
greek-deucalion,Greek,"Apollodorus, Bibliotheca 1.7.2",c. 1st–2nd c. CE (text),Deucalion (and Pyrrha),Zeus,Prometheus,Zeus's resolve to destroy the men of the Bronze Age,A chest (larnax),,Mount Parnassus,Repopulation by casting stones — “the bones of their mother” — over the shoulder,
berossus-xisuthros,Greco-Babylonian,"Berossus, Babyloniaca (via Alexander Polyhistor)",c. 3rd c. BCE,Xisuthros (= Ziusudra),Foretold by Kronos (= Ea),Kronos,A coming destruction of humankind,An enormous boat (five stadia by two),Birds released three times (return; return muddied; do not return),The mountains of Armenia (Gordyene),"Xisuthros, wife, daughter and pilot translated to dwell with the gods",
vedic-manu,Vedic / Hindu,Śatapatha Brāhmaṇa 1.8.1,c. 8th–6th c. BCE,Manu,A coming flood,The fish (later identified with Matsya/Viṣṇu),,A boat tied to the fish's horn,,The northern mountain (the “descent of the north”),"Manu, sole survivor, generates humankind again through Iḍā",
aztec-tata-nena,Aztec / Nahua,Leyenda de los Soles (Codex Chimalpopoca),1558 CE (manuscript),Tata and Nena,Tezcatlipoca,Tezcatlipoca,"The end of the Fourth Sun (Nahui-Atl, ‘4-Water’); the age destroyed by flood",A hollowed cypress (ahuehuete) log,,,"They roast the drowned people (now fish); the smoke angers the star-gods, and Tezcatlipoca turns Tata and Nena into dogs",
inca-viracocha,Andean / Inca,"Betanzos, Suma y narración de los Incas; Molina, Relación de las fábulas y ritos de los Incas",1557–1575 CE (colonial record of pre-Columbian tradition),A man and a woman sealed in a box,Con Ticci Viracocha,,Viracocha destroys the first race (a race of giants) for disobedience,A sealed box,,"Tiwanaku (Tiahuanaco), by Lake Titicaca",Viracocha refashions humanity from stone at Tiwanaku and repopulates the earth,
norse-bergelmir,Norse,Prose Edda (Gylfaginning); Vafþrúðnismál,c. 1220 CE (Prose Edda); older eddic verse,Bergelmir and his wife,,,"The blood of the slain primordial giant Ymir floods the world, drowning the frost giants","A lúðr (a hollowed tree-trunk), on Snorri's reading",,,Bergelmir and his wife survive to continue the race of frost giants (jötnar),
