id,khm_no,part,title_de,title_en,atu_type,atu_episode_types,type_note,aarne_1910_types,first_edition,wikisource_de
khm-001,KHM 1,KHM,Der Froschkönig oder der eiserne Heinrich,"The Frog King, or Iron Heinrich",440,,Type 440,440,1812/15,https://de.wikisource.org/wiki/Der_Froschkönig_oder_der_eiserne_Heinrich
khm-002,KHM 2,KHM,Katze und Maus in Gesellschaft,Cat and Mouse in Partnership,15,,"Type 15, Stealing the Partner's Butter",,1812/15,https://de.wikisource.org/wiki/Katze_und_Maus_in_Gesellschaft
khm-003,KHM 3,KHM,Marienkind,Mary's Child,710,,Type 710,710,1812/15,https://de.wikisource.org/wiki/Marienkind
khm-004,KHM 4,KHM,"Märchen von einem, der auszog das Fürchten zu lernen",The Story of a Boy Who Went Forth to Learn Fear,326,,Type 326,326,1812/15,https://de.wikisource.org/wiki/Gut_Kegel-_und_Kartenspiel
khm-005,KHM 5,KHM,Der Wolf und die sieben jungen Geißlein,The Wolf and the Seven Young Kids,123,,Type 123,123; 333,1812/15,https://de.wikisource.org/wiki/Der_Wolf_und_die_sieben_jungen_Geißlein
khm-006,KHM 6,KHM,Der treue Johannes,Faithful Johannes,516,,Type 516,516,1819,https://de.wikisource.org/wiki/Der_treue_Johannes
khm-007,KHM 7,KHM,Der gute Handel,The Good Bargain,1642,1610,"Type 1642. Includes an episode of type 1610, Sharing Strokes with the King's Guard",1610; 1642,1819,https://de.wikisource.org/wiki/Der_gute_Handel
khm-008,KHM 8,KHM,Der wunderliche Spielmann,The Strange Musician,151,1159,"Type 151, Music Lessons for Wild Animals. Cf. type 1159, Catching the Would-Be Musician in a Crack",151,1819,https://de.wikisource.org/wiki/Der_wunderliche_Spielmann
khm-009,KHM 9,KHM,Die zwölf Brüder,The Twelve Brothers,451,,"Type 451, The Brothers Who Were Turned into Birds",451,1812/15,https://de.wikisource.org/wiki/Die_zwölf_Brüder
khm-010,KHM 10,KHM,Das Lumpengesindel,The Pack of Scoundrels,210,,"Type 210, The Traveling Animals and the Wicked Man",210,1812/15,https://de.wikisource.org/wiki/Das_Lumpengesindel
khm-011,KHM 11,KHM,Brüderchen und Schwesterchen,Little Brother and Little Sister,450,,Type 450,450,1812/15,https://de.wikisource.org/wiki/Brüderchen_und_Schwesterchen
khm-012,KHM 12,KHM,Rapunzel,Rapunzel,310,,"Type 310, The Maiden in the Tower",310,1812/15,https://de.wikisource.org/wiki/Rapunzel
khm-013,KHM 13,KHM,Die drei Männlein im Walde,The Three Little Men in the Woods,403B,480,"Type 403B, The Black and the White Bride. Includes an episode of type 480, The Kind and the Unkind Girls",403 B,1812/15,https://de.wikisource.org/wiki/Die_drei_Männlein_im_Walde
khm-014,KHM 14,KHM,Die drei Spinnerinnen,The Three Spinning Women,501,,Type 501,501,1812/15,https://de.wikisource.org/wiki/Von_dem_bösen_Flachsspinnen
khm-015,KHM 15,KHM,Hänsel und Gretel,Hansel and Gretel,327A,1121,"Type 327A. Includes an episode of type 1121, Burning the Witch in Her Own Oven",327 A,1812/15,https://de.wikisource.org/wiki/Hänsel_und_Gretel
khm-016,KHM 16,KHM,Die drei Schlangenblätter,The Three Snake-Leaves,612,,Type 612,612,1819,https://de.wikisource.org/wiki/Die_drei_Schlangenblätter
khm-017,KHM 17,KHM,Die weiße Schlange,The White Snake,673,554,"Type 673. Includes an episode of type 554, The Grateful Animals",554,1812/15,https://de.wikisource.org/wiki/Die_weiße_Schlange
khm-018,KHM 18,KHM,"Strohhalm, Kohle und Bohne","Straw, Coal, and Bean",295,,Type 295,,1812/15,"https://de.wikisource.org/wiki/Strohhalm,_Kohle_und_Bohne"
khm-019,KHM 19,KHM,Von dem Fischer un syner Fru,The Fisherman and His Wife,555,,Type 555,555,1812/15,https://de.wikisource.org/wiki/Vom_Fischer_und_seiner_Frau
khm-020,KHM 20,KHM,Das tapfere Schneiderlein,The Brave Little Tailor,1640,1060; 1062; 1052; 1051; 1115,"Type 1640. Includes episodes of type 1060, Squeezing Water from a Stone; type 1062, A Contest in Throwing Stones; type 1052, A Contest in Carrying a Tree; type 1051, Springing with a Bent Tree; type 1115, Attempting to Kill the Hero in His Bed",1051; 1052; 1060; 1062; 1115; 1640,1812/15,https://de.wikisource.org/wiki/Das_tapfere_Schneiderlein
khm-021,KHM 21,KHM,Aschenputtel,Cinderella,510A,,Type 510A,510 A,1812/15,https://de.wikisource.org/wiki/Aschenputtel
khm-022,KHM 22,KHM,Das Rätsel,The Riddle,851,,"Type 851, Winning the Princess with a Riddle",851,1819,https://de.wikisource.org/wiki/Das_Rätsel
khm-023,KHM 23,KHM,"Von dem Mäuschen, Vögelchen und der Bratwurst","The Mouse, the Bird, and the Sausage",85,,Type 85,85,1812/15,"https://de.wikisource.org/wiki/Von_dem_Mäuschen,_Vögelchen_und_der_Bratwurst"
khm-024,KHM 24,KHM,Frau Holle,Frau Holle,480,,"Type 480, The Kind and the Unkind Girls",480,1812/15,https://de.wikisource.org/wiki/Frau_Holle
khm-025,KHM 25,KHM,Die sieben Raben,The Seven Ravens,451,,"Type 451, The Brothers Who Were Turned into Birds",,1812/15,https://de.wikisource.org/wiki/Die_drei_Raben
khm-026,KHM 26,KHM,Rotkäppchen,Little Red Cap,333,,"Type 333, Red Riding Hood",333,1812/15,https://de.wikisource.org/wiki/Rotkäppchen
khm-027,KHM 27,KHM,Die Bremer Stadtmusikanten,The Bremen Town Musicians,130,,"Type 130, Outcast Animals Find a New Home",130 B,1819,https://de.wikisource.org/wiki/Die_Bremer_Stadtmusikanten
khm-028,KHM 28,KHM,Der singende Knochen,The Singing Bone,780,,Type 780,780,1812/15,https://de.wikisource.org/wiki/Der_singende_Knochen
khm-029,KHM 29,KHM,Der Teufel mit den drei goldenen Haaren,The Devil with the Three Golden Hairs,461,930,"Type 461, Three Hairs from the Devil; type 930, The Prophecy That a Poor Boy Will Marry a Rich Girl",461,1812/15,https://de.wikisource.org/wiki/Der_Teufel_mit_den_drei_goldenen_Haaren
khm-030,KHM 30,KHM,Läuschen und Flöhchen,Little Louse and Little Flea,2022,,"Type 2022, An Animal Mourns the Death of a Spouse",,1812/15,https://de.wikisource.org/wiki/Läuschen_und_Flöhchen
khm-031,KHM 31,KHM,Das Mädchen ohne Hände,The Girl without Hands,706,,Type 706,706,1812/15,https://de.wikisource.org/wiki/Das_Mädchen_ohne_Hände
khm-032,KHM 32,KHM,Der gescheite Hans,Clever Hans,1696,,"Type 1696, What Should I Have Said (or Done)?",,1812/15,https://de.wikisource.org/wiki/Der_gescheite_Hans
khm-033,KHM 33,KHM,Die drei Sprachen,The Three Languages,671,,Type 671,671,1819,https://de.wikisource.org/wiki/Die_drei_Sprachen
khm-034,KHM 34,KHM,Die kluge Else,Clever Elsie,1450,1383,"Type 1450. Ends with an episode of type 1383, A Woman Does Not Know Herself",1383; 1450,1819,https://de.wikisource.org/wiki/Die_kluge_Else
khm-035,KHM 35,KHM,Der Schneider im Himmel,The Tailor in Heaven,800,,Type 800,800,1819,https://de.wikisource.org/wiki/Der_Schneider_im_Himmel
khm-036,KHM 36,KHM,"Tischchendeckdich, Goldesel und Knüppel aus dem Sack","Table-Be-Set, Gold-Donkey, and Cudgel-out-of-the-Sack",563,212,"Type 563, introduced by type 212, The Goat That Lied",563,1812/15,"https://de.wikisource.org/wiki/Tischchen_deck_dich,_Goldesel_und_Knüppel_aus_dem_Sack"
khm-037,KHM 37,KHM,Daumesdick,Thumbthick,700,41,"Type 700, Tom Thumb. Includes an episode of type 41, Overeating in the Pantry",700,1819,https://de.wikisource.org/wiki/Daumesdick
khm-038,KHM 38,KHM,Die Hochzeit der Frau Füchsin,Mrs. Fox's Wedding,65,,"Two tales. Type 65, Mrs. Fox's Suitors.",65,1812/15,https://de.wikisource.org/wiki/Die_Hochzeit_der_Frau_Füchsin
khm-039,KHM 39,KHM,Die Wichtelmänner,The Elves,503*,7015; 476*; 5070; 5085,"Three tales. Tale one: type 503*, Helpful Elves. Also categorized as a migratory legend, type 7015. Tale two: type 476*, A Midwife (or Godmother) for the Elves. Also categorized as a migratory legend, type 5070. Tale three: migratory legend, type 5085, The Changeling.",,1812/15,https://de.wikisource.org/wiki/Die_Wichtelmänner
khm-040,KHM 40,KHM,Der Räuberbräutigam,The Robber Bridegroom,955,,Type 955,955,1812/15,https://de.wikisource.org/wiki/Der_Räuberbräutigam
khm-041,KHM 41,KHM,Herr Korbes,Herr Korbes,210,,"Type 210, The Traveling Animals and the Wicked Man",,1812/15,https://de.wikisource.org/wiki/Herr_Korbes
khm-042,KHM 42,KHM,Der Herr Gevatter,The Godfather,332,,"Type 332, Godfather Death",332,1812/15,https://de.wikisource.org/wiki/Der_Herr_Gevatter
