id,motif_family,tradition,source_text,reference,summary,thompson_motifs,atu_type,aarne_1910_type,woh_wiki,woh_library,see_dataset,woh_reading
flood-sumerian-ziusudra,flood,Sumerian,Eridu Genesis / Sumerian Flood Story,"ETCSL 1.7.4 (Sumerian Flood Story, segments C–E)","The gods resolve to destroy humankind; Ziusudra, king of Shuruppak, is warned by Enki, rides out the seven-day flood in a great boat, and is granted eternal life in Dilmun.",A1010; A1021,,,https://www.wheelofheaven.world/wiki/great-flood/,https://www.wheelofheaven.world/library/eridu-genesis/,flood-myths,"Canon reads the flood as a deliberate planetary reset ordered from the Elohim home world, with a favored lineage preserved."
flood-babylonian-atrahasis,flood,Babylonian (Akkadian),Atra-ḫasīs,"Atra-ḫasīs, Tablet III (OB version)","Enlil, exasperated by the noise of overpopulated humankind, has the assembly swear a flood into being; Enki leaks the plan through a reed wall and Atra-ḫasīs builds the boat that saves his household.",A1010; A1018; A1021,,,https://www.wheelofheaven.world/wiki/great-flood/,https://www.wheelofheaven.world/library/atrahasis-woh/,flood-myths,
flood-babylonian-utnapishtim,flood,Babylonian (Akkadian),"Epic of Gilgamesh, Tablet XI","Epic of Gilgamesh, Tablet XI.1–206","Utnapishtim recounts to Gilgamesh how Ea told him to build a cube-shaped boat, how the storm terrified even the gods, and how the raven he released did not return; he and his wife receive immortality.",A1010; A1021; A1021.2,,,https://www.wheelofheaven.world/wiki/great-flood/,https://www.wheelofheaven.world/library/gilgamesh-woh/,flood-myths,
flood-hebrew-noah,flood,Hebrew / Biblical,Genesis 6–9,Genesis 6:5–9:17,"Yahweh resolves to blot out corrupt humankind; Noah builds the ark to specification, survives the flood with his family and the animals, and receives the rainbow covenant.",A1010; A1018; A1021; A1021.2,,,https://www.wheelofheaven.world/wiki/noah/,https://www.wheelofheaven.world/library/genesis-woh/,flood-myths,Canon: the ark preserved the genetic material of the species to re-seed life after a reset decreed from the Elohim home planet (The Book Which Tells the Truth).
flood-islamic-nuh,flood,Islamic,"Qurʾān (Sūrahs 11, 71, 23)",Qurʾān 11:25–48; 71:1–28; 23:23–30,"Nūḥ preaches in vain, builds the ark under revelation, and the disbelievers — his own son among them — drown; the ark comes to rest on Mount Jūdī.",A1010; A1018; A1021,,,https://www.wheelofheaven.world/wiki/great-flood/,https://www.wheelofheaven.world/library/quran-woh/,flood-myths,
flood-greek-deucalion,flood,Greek,"Apollodorus, Bibliotheca 1.7.2","Apollodorus, Bibliotheca 1.7.2","Zeus floods the Bronze Age race; forewarned by Prometheus, Deucalion floats in a chest to Parnassus and repopulates the earth with Pyrrha by casting stones over their shoulders.",A1010; A1021,,,https://www.wheelofheaven.world/wiki/great-flood/,,flood-myths,
flood-berossus-xisuthros,flood,Greco-Babylonian,"Berossus, Babyloniaca (via Alexander Polyhistor)","Berossos, Babyloniaca (FGrH 680 F 4)","Kronos reveals the coming flood to Xisuthros, who buries the writings at Sippar, builds an enormous boat, releases birds three times, and is translated to live with the gods.",A1010; A1021; A1021.2,,,https://www.wheelofheaven.world/wiki/great-flood/,,flood-myths,
flood-vedic-manu,flood,Vedic / Hindu,Śatapatha Brāhmaṇa 1.8.1,Śatapatha Brāhmaṇa 1.8.1.1–10,"A fish Manu spares grows huge, warns him of the flood, and tows his boat to the northern mountain; sole survivor, Manu regenerates humankind through Iḍā.",A1010; A1021,,,https://www.wheelofheaven.world/wiki/great-flood/,,flood-myths,
flood-aztec-tata-nena,flood,Aztec / Nahua,Leyenda de los Soles (Codex Chimalpopoca),"Leyenda de los Soles (Codex Chimalpopoca), the Fourth Sun (Nahui-Atl)","At the end of the Fourth Sun the world drowns; Tata and Nena ride out the flood in a hollowed cypress log, but roast a fish against orders and are turned into dogs by Tezcatlipoca.",A1010; A1021,,,https://www.wheelofheaven.world/wiki/great-flood/,,flood-myths,
flood-inca-viracocha,flood,Andean / Inca,"Betanzos, Suma y narración de los Incas; Molina, Relación de las fábulas y ritos de los Incas","Betanzos, Suma y narración de los Incas I.1–2; Molina, Relación de las fábulas y ritos","Colonial chroniclers record that Con Ticci Viracocha destroyed a first, disobedient race by flood and refashioned humanity in stone at Tiwanaku by Lake Titicaca.",A1010,,,https://www.wheelofheaven.world/wiki/great-flood/,,flood-myths,
flood-norse-bergelmir,flood,Norse,Prose Edda (Gylfaginning); Vafþrúðnismál,Vafþrúðnismál 35; Gylfaginning 7,"The blood of the slain primordial giant Ymir drowns the frost-giants; only Bergelmir and his wife escape — on Snorri’s reading aboard a lúðr, a hollowed trunk — to continue the jötnar.",A1010; A1012.3.1,,,https://www.wheelofheaven.world/wiki/great-flood/,,flood-myths,
